 Lasso coefficients for determining the ITH phenotypes.,,,
Feature name,Low-ITH vs Others,Middle-ITH vs Others,High-ITH vs Others
(Intercept),0.401843358,0.781230733,-1.183074091
loc_peak_loc,0,0,0
loc_peak_glob,-0.043778555,0.041615065,0
stat_mean,-0.026310683,0.108083967,0
stat_var,-0.09330593,0.052618429,0
stat_skew,-0.032176634,0,0.010781272
stat_kurt,0.048434087,0,0
stat_median,-0.021444058,0.106509527,0
stat_min,0,0.029893166,0
stat_p10,0,0.078073392,-0.015935257
stat_p90,-0.067601758,0.117605582,0
stat_max,-0.078026023,0.033224072,0
stat_iqr,-0.089261056,0.059274361,0
stat_range,-0.063136398,0,0
stat_mad,-0.097780194,0.070513672,0
stat_rmad,-0.088169039,0.061013789,0
stat_medad,-0.097997241,0.060825566,0
stat_cov,-0.044958886,0,0.013352215
stat_qcod,-0.026656536,0,0.010156412
stat_energy,-0.020884835,0,0.018488841
stat_rms,-0.039354033,0.112408368,0
ivh_v10,0,0,-0.033530676
ivh_v90,0,0,0
ivh_i10,0,0,-0.060139004
ivh_i90,0.062954533,0,-0.004581349
ivh_diff_v10_v90,0,0,0
ivh_diff_i10_i90,0,0.049164821,0
ih_mean_fbn_n32,0.028790712,0,-0.041396607
ih_var_fbn_n32,0,0.026893389,0
ih_skew_fbn_n32,-0.032480618,0,0.008814688
ih_kurt_fbn_n32,0.046467309,0,0
ih_median_fbn_n32,0.002377497,0,-0.00046627
ih_p10_fbn_n32,0.031760459,0,0
ih_p90_fbn_n32,0,0,-0.047030904
ih_mode_fbn_n32,0.057634721,0,-0.020599793
ih_iqr_fbn_n32,0,0,0
ih_mad_fbn_n32,0,0.042365589,0
ih_rmad_fbn_n32,0,0,0
ih_medad_fbn_n32,0,0.029098618,0
ih_cov_fbn_n32,-0.066569287,0.017353447,0
ih_qcod_fbn_n32,-0.017757855,0,0
ih_entropy_fbn_n32,-0.010693053,0.038714583,0
ih_uniformity_fbn_n32,0.001592783,0,0
ih_max_grad_fbn_n32,0,0,0
ih_max_grad_g_fbn_n32,0,0,0
ih_min_grad_fbn_n32,0,0,0
ih_min_grad_g_fbn_n32,4.27E-05,0,0
cm_joint_max_d1_3d_avg_fbn_n32,0,0,0
cm_joint_avg_d1_3d_avg_fbn_n32,0.017248543,0,-0.04919
cm_joint_var_d1_3d_avg_fbn_n32,0,0.029276946,0
cm_joint_entr_d1_3d_avg_fbn_n32,0,0.014229399,0
cm_diff_avg_d1_3d_avg_fbn_n32,0,0.053888077,-0.041098865
cm_diff_var_d1_3d_avg_fbn_n32,0,0.045880868,-0.037956473
cm_diff_entr_d1_3d_avg_fbn_n32,0,0.073390298,-0.05702201
cm_sum_avg_d1_3d_avg_fbn_n32,0.017134356,0,-0.049211529
cm_sum_var_d1_3d_avg_fbn_n32,0,0.013221842,0
cm_sum_entr_d1_3d_avg_fbn_n32,-0.054286474,0.032464754,0
cm_energy_d1_3d_avg_fbn_n32,0,0,0
cm_contrast_d1_3d_avg_fbn_n32,0,0.036188444,-0.029324858
cm_dissimilarity_d1_3d_avg_fbn_n32,0,0.053980787,-0.041443155
cm_inv_diff_d1_3d_avg_fbn_n32,0,-0.023652793,0.052360147
cm_inv_diff_norm_d1_3d_avg_fbn_n32,0,-0.055811919,0.043828063
cm_inv_diff_mom_d1_3d_avg_fbn_n32,0,-0.014891932,0.053198392
